***LakeOntarioNearshoreCumulativeStress.csv***,,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
BeachName,Name of beach,
DaysAnalyzed,Time frame for which data was extracted and analyzed,
PercentDaysPosted,Percent of time (days) that a beach was posted as unsafe for swimming during the DaysAnalyzed time frame,
Latitude,geographic coordinate specifying the north-south position of the beach,
Longitude,geographic coordinate specifying the east-west position of the beach,
DataSource,Original source of the data,
ParentTable,Great Lakes Nearshore Waters Assessment parent table that data is extracted from,
,,
,,
***LakeOntarioNearshore_FishConsumption.csv***,,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
Species_1,Fish species for which consumption advisory exists and the size class (centimeters),
AvgMeals_sp1,"Average number of meals for Species_1, based on consumption advisories at all Sampling Blocks in the Regional Unit",
Contaminant_sp1,Contaminant of concern; reason for consumption advisory,
Species_2,Fish species for which consumption advisory exists and the size class (centimeters),
AvgMeals_sp2,"Average number of meals for Species_2, based on consumption advisories at all Sampling Blocks in the Regional Unit",
Contaminant_sp2,Contaminant of concern; reason for consumption advisory,
Species_3,Fish species for which consumption advisory exists and the size class (centimeters),
AvgMeals_sp3,"Average number of meals for Species_3, based on consumption advisories at all Sampling Blocks in the Regional Unit",
Contaminant_sp3,Contaminant of concern; reason for consumption advisory,
AverageMealsPerMonthALL,"Average number of meals per month for Species_1, Species_2 and Species_3",
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
x_centroid,geographic coordinate specifying the east-west position of the middle of the Regional Unit,
y_centroid,geographic coordinate specifying the north-south position of the middle of the Regional Unit,
DataSource,Original source of the data,
ParentTable,Great Lakes Nearshore Waters Assessment parent table that data is extracted from,
,,
,,
***LakeOntarioNearshore_TreatedDrinkingWater.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
TDW_Facility,"Whether there is a Treated Drinking Water Facility located in the Regional Unit, that draws drinking water from the nearshore",
Number_AWQI,The number of adverse water quality incidents reported at the Treated Drinking Water Facility,
DataSource,Original source of the data,
x_centroid,geographic coordinate specifying the east-west position of the middle of the Regional Unit,
y_centroid,geographic coordinate specifying the north-south position of the middle of the Regional Unit,
,,
,,
***LakeOntarioNearshore_ShorelineHardening.csv***,,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
UnitType,Regional Unit ecosystem type,
ShorelineType,classification of shoreline; Natural or hardened,
ShorelineExposure,shoreline exposure,
Imagery,Source of imagery used to classify shoreline type,
LengthKM,length (kilometres) of shoreline segment,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
x_start,geographic coordinate specifying the east-west position of the start of the line segment,
y_start,geographic coordinate specifying the north-south position of the start of the line segment,
x_end,geographic coordinate specifying the east-west position of the end of the line segment,
y_end,geographic coordinate specifying the north-south position of the end of the line segment,
,,
,,
***LakeOntarioNearshore_LittoralBarriers.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
LengthM,length (meters) of littoral barrier,
x_start,geographic coordinate specifying the east-west position of the start of the line segment,
y_start,geographic coordinate specifying the north-south position of the start of the line segment,
x_end,geographic coordinate specifying the east-west position of the end of the line segment,
y_end,geographic coordinate specifying the north-south position of the end of the line segment,
,,
,,
***LakeOntarioNearshore_TributaryConnectivity.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
Percent_HydrologicallyConnected,Percent of the total length of tributaries not upstream of a waterfall that are connected to the nearshore of a specific Regional Unit,
DataSource,Original source of the data,
x_centroid,geographic coordinate specifying the east-west position of the middle of the Regional Unit,
y_centroid,geographic coordinate specifying the north-south position of the middle of the Regional Unit,
,,
,,
***LakeOntarioNearshore_Cyanobacteria.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
Cyanobacteria,Whether a cyanobacteria bloom exceeding 2% (20% in the Western Basin) of the area of a Regional Unit; from 10-day satellite composites,
BloomYear,Year that the bloom was detected in,
DataSource,Original source of the data,
x_centroid,geographic coordinate specifying the east-west position of the middle of the Regional Unit,
y_centroid,geographic coordinate specifying the north-south position of the middle of the Regional Unit,
,,
,,
***LakeOntarioNearshore_Cladophora.csv***,,
AssessmentYear,Year that nearshore assessment was completed,
AssessmentCategory,Category and measure of nearshore assessment that data is used to assess,
RegionalUnitID,"Unique identifier for Regional Unit (lake, number)",
MeasureApplies,Whether measure applies in the Regional Unit,"Conditions not conducive to growth in Regional Units lacking hard substrate, with limited light availability or where coastal wetlands are predominant"
TotalMappedArea_ha,Total area mapped by satellite imagery within a specific Regional Unit (hectares),
NuisanceAlgae_ha,Total area classified as submerged aquatic vegetation (hectares),
UncolonizedSubstrate_ha,Total area classified as uncolonized substrate (hectares),
Percent_NuisanceAlgae,Percent of total mapped area that is classified as submerged aquatic vegetation,Submerged aquatic vegetation (SAV) used as a proxy for Cladophora/nuisance algae (except in Regional Units characterized by coastal wetlands)
DataSource,Original source of the data,
x_centroid,geographic coordinate specifying the east-west position of the middle of the Regional Unit,
y_centroid,geographic coordinate specifying the north-south position of the middle of the Regional Unit,
